"","dispersal","sig_niche","alpha","n_sp","rep"
"140",0.000215443469003188,10,"patch_dynamics",5,1
"141",0.000464158883361278,0.0464158883361278,"0.5",4,1
"142",0.000464158883361278,0.0464158883361278,"1.5",2,1
"143",0.000464158883361278,0.0464158883361278,"equal",1,1
"144",0.000464158883361278,0.0464158883361278,"patch_dynamics",2,1
"145",0.000464158883361278,0.1,"0.5",12,1
"146",0.000464158883361278,0.1,"1.5",10,1
"147",0.000464158883361278,0.1,"equal",11,1
"148",0.000464158883361278,0.1,"patch_dynamics",6,1
"149",0.000464158883361278,0.215443469003188,"0.5",22,1
"150",0.000464158883361278,0.215443469003188,"1.5",9,1
"151",0.000464158883361278,0.215443469003188,"equal",13,1
"152",0.000464158883361278,0.215443469003188,"patch_dynamics",9,1
"153",0.000464158883361278,0.464158883361278,"0.5",30,1
"154",0.000464158883361278,0.464158883361278,"1.5",23,1
"155",0.000464158883361278,0.464158883361278,"equal",22,1
"156",0.000464158883361278,0.464158883361278,"patch_dynamics",16,1
"157",0.000464158883361278,1,"0.5",32,1
"158",0.000464158883361278,1,"1.5",23,1
"159",0.000464158883361278,1,"equal",32,1
"160",0.000464158883361278,1,"patch_dynamics",10,1
"161",0.000464158883361278,2.15443469003188,"0.5",36,1
"162",0.000464158883361278,2.15443469003188,"1.5",30,1
"163",0.000464158883361278,2.15443469003188,"equal",35,1
"164",0.000464158883361278,2.15443469003188,"patch_dynamics",1,1
"165",0.000464158883361278,4.64158883361278,"0.5",35,1
"166",0.000464158883361278,4.64158883361278,"1.5",30,1
"167",0.000464158883361278,4.64158883361278,"equal",41,1
"168",0.000464158883361278,4.64158883361278,"patch_dynamics",6,1
"169",0.000464158883361278,10,"0.5",38,1
"170",0.000464158883361278,10,"1.5",30,1
"171",0.000464158883361278,10,"equal",33,1
"172",0.000464158883361278,10,"patch_dynamics",5,1
"173",0.001,0.0464158883361278,"0.5",7,1
"174",0.001,0.0464158883361278,"1.5",3,1
"175",0.001,0.0464158883361278,"equal",2,1
"176",0.001,0.0464158883361278,"patch_dynamics",3,1
"177",0.001,0.1,"0.5",15,1
"178",0.001,0.1,"1.5",5,1
"179",0.001,0.1,"equal",6,1
"180",0.001,0.1,"patch_dynamics",6,1
"181",0.001,0.215443469003188,"0.5",24,1
"182",0.001,0.215443469003188,"1.5",15,1
"183",0.001,0.215443469003188,"equal",10,1
"184",0.001,0.215443469003188,"patch_dynamics",10,1
"185",0.001,0.464158883361278,"0.5",24,1
"186",0.001,0.464158883361278,"1.5",17,1
"187",0.001,0.464158883361278,"equal",17,1
"188",0.001,0.464158883361278,"patch_dynamics",10,1
"189",0.001,1,"0.5",28,1
"190",0.001,1,"1.5",26,1
"191",0.001,1,"equal",31,1
"192",0.001,1,"patch_dynamics",7,1
"193",0.001,2.15443469003188,"0.5",28,1
"194",0.001,2.15443469003188,"1.5",19,1
"195",0.001,2.15443469003188,"equal",34,1
"196",0.001,2.15443469003188,"patch_dynamics",3,1
"197",0.001,4.64158883361278,"0.5",30,1
"198",0.001,4.64158883361278,"1.5",22,1
"199",0.001,4.64158883361278,"equal",36,1
"200",0.001,4.64158883361278,"patch_dynamics",2,1
"201",0.001,10,"0.5",32,1
"202",0.001,10,"1.5",26,1
"203",0.001,10,"equal",41,1
"204",0.001,10,"patch_dynamics",3,1
"205",0.00215443469003188,0.0215443469003188,"equal",1,1
"206",0.00215443469003188,0.0464158883361278,"0.5",11,1
"207",0.00215443469003188,0.0464158883361278,"1.5",4,1
"208",0.00215443469003188,0.0464158883361278,"equal",3,1
"209",0.00215443469003188,0.0464158883361278,"patch_dynamics",5,1
