"","rep","dispersal","sig_niche","alpha","space_var_part_Space","space_var_part_both","space_var_part_Environment","space_var_part_Residual"
"1866","14","0.001","0.215443469003188","patch","0.0112001397754965","0","0.142959576193795","0.908094336366225"
"1867","14","0.001","0.464158883361278","0.5","0","0","0.314844985214979","0.764278831781513"
"1868","14","0.001","0.464158883361278","1.5","0","0","0.245484537025068","0.882018346087508"
"1869","14","0.001","0.464158883361278","equal","0.0184048915130435","0","0.203051484688386","0.802126737590475"
"1870","14","0.001","0.464158883361278","patch","0.0181110133191998","0","0.127674334128148","0.900436491039441"
"1871","14","0.001","10","0.5","0","0","0.0156847033439447","1.00957104366053"
"1872","14","0.001","10","1.5","0.0696727642664434","0.00093870882901026","0.00043350258309649","0.92895502432145"
"1873","14","0.001","10","equal","0.0425002926753625","0","0.0108242074272017","0.949487385078362"
"1874","14","0.001","10","patch","0.0204383583974975","0","0.0144106538815881","0.972859480853045"
"1875","14","0.001","1","0.5","0.021367247206148","0","0.134950150328764","0.86618352757505"
"1876","14","0.001","1","1.5","0.0823042661334601","0","0.160140127733445","0.814132544215598"
"1877","14","0.001","1","equal","0","0","0.0345748846066554","1.00259047435216"
"1878","14","0.001","1","patch","0","0","0.0532986056839935","1.0031725476041"
"1879","14","0.001","2.15443469003188","0.5","0.00437193661921942","0","0.0487193272473472","0.96940433940757"
"1880","14","0.001","2.15443469003188","1.5","0","0.00228414270981525","0","1.05640258200691"
"1881","14","0.001","2.15443469003188","equal","0.0092601561404182","0","0.0137105864474275","0.98344620124708"
"1882","14","0.001","2.15443469003188","patch","0","0","0.0216810438366384","1.07178109005941"
"1883","14","0.001","4.64158883361278","0.5","0","0.00108777714508879","0","1.01225945602508"
"1884","14","0.001","4.64158883361278","1.5","0","0.00732657106897117","0","1.08529755736464"
"1885","14","0.001","4.64158883361278","equal","0.0320047316854406","0.00210305342947059","0.00652045639086207","0.959371758494227"
"1886","14","0.001","4.64158883361278","patch","0","0","0.00188100542278158","1.04128108286093"
